Score1,EssayText
2,"For us it is usually a set, get, and displayMessge or other messages that tell you what properties a class has but does not reveal its implementations. You could have anything you want in your own class definition."
4,The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.
5,Information telling the compiler what data members and member functions belong to the class.
5,"either data or function declarations, and optionally access specifiers.  Example for specifiers would be public, private, and protected.  There is the keyword Class and the Class body is enclosed with brackets ({})."
2,An object and data.
3,"It's specific class name, includes only information defined by that class... implementation details... etc."
5,data members and member functions.
5,A class definition usually contains the function and its data members
5,Data members and member functions
4,member functions
5,Member functions and data members belonging to the class.
5,a public and private area that includes the functions and variables that are used in the class
4,"the keyword class followed by they class name, on the inside you declare public and private declarations of your class"
3,A class definition typically includes function definitions.
5,"It begins with Class, followed by the class name, then usually a constructor, data members and member functions that delineates the class is included in any class's definition."
5,the data and methods 
5,"A constructor, functions, and variables that are accessible to by that class, and possibly other classes depending on how they are done."
5,Member functions and data members.
3,"public section and private section, and there must be a semicolon to set the end"
5,member funtions and data members
5,Data members and Member functions
5,data members and member functions
4,"the class name and its public data types such as constructors, methods, functions."
2,"a constructor and several data members, and at least one public data member or method"
5,"class name, two curly prenthesis, public and private"
5,data members and member functions
5,Data and functions
5,functions and data members that belong to the class
5,"class variables, function definitions for the class"
5,"A class is an expanded concept of a data structure, it holds both the data and the functions being executed "
